Джон Ройс, Yohn Royce
Робин Аррен, Robin Arryn
Вардис Иген, Vardis Egen
Джон Аррен, Jon Arryn 
Ренли Баратеон, Renly Baratheon 
Маттос Сиворт, Matthos Seaworth
Салладор Саан, Salladhor Saan
Аксель Флорент, Axel Florent  
Харальд Карстарк, Harald Karstark 
Джон Амбер, Jon Umber
Уолдер Фрей, Walder Frey
Уолдер Риверс, Walder Frey  
Лотар Фрей, Lothar Frey 
Эурон Грейджой, Euron Greyjoy
Дагмер Щербатый, Dagmer Cleftjaw
Бейлон Грейджой, Balon Greyjoy
Эйрон Грейджой, Aeron Greyjoy 
Григор Клиган, Gregor Clegane
Лансель Ланнистер, Lancel Lannister
Киван Ланнистер, Kevan Lannister 
Амори Лорх, Amory Lorch 
Алтон Ланнистер, Alton Lannister
Лео Леффорд, Leo Lefford 
Мартин Ланнистер, Martyn Lannister
Уиллем Ланнистер, Willem Lannister
Оберин Мартелл, Oberyn Martell
Арео Хотах, Areo Hotah  
Тристан Мартелл, Trystane Martell
Доран Мартелл, Doran Martell
Рикон Старк, Rickon Stark  
Родрик Кассель, Rodrik Cassel
Жойен Рид, Jojen Reed  
Рикард Карстарк, Rickard Karstark
Робетт Гловер, Robett Glover 
Нед Амбер, Ned Umber
Барристан Селми, Barristan Selmy 
Хиздар зо Лорак, Hizdahr zo Loraq
Рейгар Таргариен, Rhaegar Targaryen
Эйрис II Таргариен, Aerys II Targaryen
Артур Дейн, Arthur Dayne
Эдмур Талли, Edmure Tully
Бринден Талли, Brynden Tully
Лорас Тирелл, Loras Tyrell
Мейс Тирелл, Mace Tyrell
Дикон Тарли, Dicon Tarly
Джори Кассель, Jory Cassel
Рендилл Тарли, Randyll Tarly 
