Лиза Аррен, Lysa Arryn
Анья Уэйнвуд, Anya Waynwood 
Мирцелла Баратеон, Myrcella Baratheon
Селиса Баратеон, Selyse Baratheon
Ширен Баратеон, Shireen Baratheon
Уолда Болтон, Walda Bolton (Fat Walda)  
Жойез Эренфорд, Joyeuse Erenford
Яра Грейджой, Yara Greyjoy
Лоллис Стокворт, Lollys Stokeworth
Тиена Сэнд, Tyene Sand
Нимерия Сэнд, Nymeria Sand  
Обара Сэнд, Obara Sand
Мира Рид, Meera Reed
Лианна Мормонт, Lyanna Mormont  
Элис Карстарк, Alys Karstark
Лианна Старк, Lyanna Stark  
Рослин Талли, Roslin Tully
Оленна Тирелл, Olenna Tyrell
Мелесса Тарли, Melessa Florent
Талла Тарли, Talla Tarly
